Parcela,Inclinacao,Argila,Silte,Areia,hand30
L3_0500,12.33,62.40783832,2.559115042,35.03304664,31.96
L3_1500,8.33,4.553264878,0.937432291,94,12.6
L3_2500,10.33,4.98641278,0.728427242,94.28515998,1.44
L3_3500,10.17,4,2.82630582,92.67199846,3.02
L3_4500,9.5,78.28229273,2,20.25043524,32.97
L4_0500,1.83,1.621471091,0.293244664,98.08528424,4.65
L4_1500,10.67,3.795033299,1.075482648,95.12948405,4.35
L4_2500,6.83,79.73109996,1,18.76362846,43.74
L4_3500,3.67,77.3261214,9.28372398,14,38.61
L4_4500,1.5,86.78861362,2.185815276,11.0255711,38.72
L5_0500,3.33,2.756149587,2.353707615,94.8901428,1.8
L5_1500,10.5,81.31426298,3.2867045,16,37.83
L5_2500,9.5,42.57550944,4.089015112,53.33547545,14.56
L5_3500,0.67,83.29751863,2.688775565,14.01370581,45.06
L5_4500,3.67,84.32047604,3.944320476,11.73520349,36.39
L6_0500,26.33,32.24204543,4.342901066,64,16.85
L6_1500,21.83,11.81356854,2.201010894,85.98542057,2.62
L6_2500,2.67,3.879695886,3.471092861,92.64921125,2.15
L6_3500,8.33,87.25574728,1.765995242,10.97825748,19.21
L6_4500,14,29.59851082,2.325321181,68.076168,12
L7_0500,13.33,13.04956035,3.823940847,83.1264988,9.08
L7_1500,17.67,56.83510802,3.9299563,39.23493568,17.1
L7_2500,13,86.30054633,3.774759002,9.924694665,32.47
L7_3500,4.83,72.45682605,5.503749177,22.03942477,27.3
L7_4500,2,83.71707071,5.080668879,11.20226041,33.85
L8_0500,4.83,2.744632493,4.634928366,92,3.08
L8_1500,5.67,2.684671392,2,94.79210101,1.74
L8_2500,10,7.319463893,4,89.25085017,16.66
L8_3500,5.17,3.853346407,2.900118269,93.24653532,1.62
L8_4500,2,85.81609649,3.002379048,11.18152446,24.23
