YEAR,TRAIL,PLOT,SAMPLING_UNIT,SUBFAMILY,GENUS,SPECIES,TAXON,FUNCTIONAL_GROUP,N_OF_WORKERS
2006,LO3,500,LO3_0500,Amblyoponinae,Prionopelta,punctulata,Prionopelta_punctulata,Ground_dwelling_specialist_predators,1
2006,LO3,500,LO3_0500,Dorylinae,Eciton,rapax,Eciton_rapax,Raid_hunting_predators,7
2006,LO3,500,LO3_0500,Ectatomminae,Ectatomma,edentatum,Ectatomma_edentatum,Generalist_omnivores,2
2006,LO3,500,LO3_0500,Ectatomminae,Ectatomma,lugens,Ectatomma_lugens,Generalist_omnivores,6
2006,LO3,500,LO3_0500,Ectatomminae,Gnamptogenys,acuminata,Gnamptogenys_acuminata,Ground_dwelling_generalist_predators,1
2006,LO3,500,LO3_0500,Formicinae,Camponotus,fastigatus,Camponotus_fastigatus,Arboreal_omnivores,16
2006,LO3,500,LO3_0500,Formicinae,Camponotus,femoratus,Camponotus_femoratus,Arboreal_omnivores,1
2006,LO3,500,LO3_0500,Formicinae,Nylanderia,guatemalensis,Nylanderia_guatemalensis,Generalist_omnivores,1
2006,LO3,500,LO3_0500,Formicinae,Nylanderia,sp_01,Nylanderia_sp_01,Generalist_omnivores,2
2006,LO3,500,LO3_0500,Myrmicinae,Blepharidatta,brasiliensis,Blepharidatta_brasiliensis,Generalist_omnivores,6
2006,LO3,500,LO3_0500,Myrmicinae,Carebara,urichi,Carebara_urichi,Ground_dwelling_omnivores,4
2006,LO3,500,LO3_0500,Myrmicinae,Crematogaster,brasiliensis,Crematogaster_brasiliensis,Arboreal_omnivores,4
2006,LO3,500,LO3_0500,Myrmicinae,Crematogaster,limata,Crematogaster_limata,Arboreal_omnivores,2
2006,LO3,500,LO3_0500,Myrmicinae,Crematogaster,sotobosque,Crematogaster_sotobosque,Generalist_omnivores,1
2006,LO3,500,LO3_0500,Myrmicinae,Crematogaster,tenuicula,Crematogaster_tenuicula,Arboreal_omnivores,13
2006,LO3,500,LO3_0500,Myrmicinae,Ochetomyrmex,semipolitus,Ochetomyrmex_semipolitus,Ground_dwelling_omnivores,1
2006,LO3,500,LO3_0500,Myrmicinae,Paratrachymyrmex,sp_01,Paratrachymyrmex_sp_01,Leaf_cutters,1
2006,LO3,500,LO3_0500,Myrmicinae,Pheidole,meinerti,Pheidole_meinerti,Generalist_omnivores,4
2006,LO3,500,LO3_0500,Myrmicinae,Pheidole,radoszkowskii,Pheidole_radoszkowskii,Generalist_omnivores,1
2006,LO3,500,LO3_0500,Myrmicinae,Pheidole,sp_15,Pheidole_sp_15,Generalist_omnivores,1
2006,LO3,500,LO3_0500,Myrmicinae,Pheidole,sp_34,Pheidole_sp_34,Generalist_omnivores,1
2006,LO3,500,LO3_0500,Myrmicinae,Pheidole,sp_48,Pheidole_sp_48,Generalist_omnivores,4
2006,LO3,500,LO3_0500,Myrmicinae,Pheidole,sp_50,Pheidole_sp_50,Generalist_omnivores,3
2006,LO3,500,LO3_0500,Myrmicinae,Pheidole,sp_51,Pheidole_sp_51,Generalist_omnivores,1
2006,LO3,500,LO3_0500,Myrmicinae,Solenopsis,brevicornis,Solenopsis_brevicornis,Ground_dwelling_omnivores,1
